Morpheme IDs:	{{pɨ1, suffix, pɨ:V+_ , pɨ̃:Ṽ+_, postpositional clitic}, {pɨ2, suffix, pɨ:V+_ , mɨ̃:Ṽ+_, postpositional clitic}, {ʔi, suffix, ʔi:V+_, ʔĩ:Ṽ+_, diminutive}, {i, suffix, i:V+_, ĩ:Ṽ+_, negative},  {mo, prefix, mo, mo, causative}}			
				
Process name:	LDNH			
Process type:	LDNH			
Prose description:	leftward LDNH from an underlying nasal segment affecting all voiced segments, triggered by a root-final nasal vowel			
	Optionality:	Categorical		
	Directionality:	Leftward		
	Alternation type:	Phonological		
	Undergoers:	V, R, N		
		Type:	Segmental	
		Morpheme class:	NA	
		Morpheme IDs:	NA	
		Positional restriction:	{root}, {prefix}	
	Triggers:	Ṽ		
		Type:	Segmental	
		Morpheme class:	{root}	
		Morpheme IDs:	None	
		Positional restriction:	{root, rmost}	
	Triggers:	N		
		Type:	Segmental	
		Morpheme class:	{prefix, root}	
		Morpheme IDs:	NA	
		Positional restriction:	{word}	
	Transparencies:	T, S		
	Opacities:	None		
				
Process name:	LO			
Process type:	LO			
Prose description:	Nasals post-oralize immediately preceding an oral vowel			
	Optionality:	Categorical		
	Directionality:	Rightward		
	Alternation type:	Phonological		
	Undergoers:	N		
		Type:	Segmental	
		Morpheme class:	NA	
		Morpheme IDs:	NA	
		Positional restriction:	{prefix}, {root}	
	Triggers:	V		
		Type:	Segmental	
		Morpheme class:	NA	
		Morpheme IDs:	NA	
		Positional restriction:	{prefix}, {root}	
	Transparencies:	NA		
	Opacities:	NA		
				
Process name:	MPP=LNsyll:mo			
Process type:	LNSyll			
Prose description:	root initial voiceless stops become prenasalized when following prefix mo-			
	Optionality:	Categorical		
	Directionality:	Rightward		
	Alternation type:	Morphophonological		
	Undergoers:	T		
		Type:	Segmental	
		Morpheme class:	NA	
		Morpheme IDs:	NA	
		Positional restriction:	{root, initial}	
	Triggers:	mo		
		Type:	Morphological	
		Morpheme class:	{prefix}	
		Morpheme IDs:	{mo}	
		Positional restriction:	NA	
	Transparencies:	NA		
	Opacities:	NA		
				
Process name:	XMP=LN:TtoN			
Process type:	LN			
Prose description:	LN of voiceless stops at morpheme boundaries when following a nasal vowel			
	Optionality:	Categorical		
	Directionality:	Rightward		
	Alternation type:	Morphophonological		
	Undergoers:	p, t, k, kʷ		
		Type:	Segmental	
		Morpheme class:	suffix, dependent noun	
		Morpheme IDs:	None	
		Positional restriction:	{suffix, initial}, {word2, initial} 	
	Triggers:	Ṽ		
		Type:	Phonological	
		Morpheme class:	root, head noun	
		Morpheme IDs:	None	
		Positional restriction:	{root, initial}, {word1, final}	
	Transparencies:	NA		
	Opacities:	NA		
				
Process name:	ONAllm:suffixes			
Process type:	ONAllm			
Prose description:	In the variety described by Guedes (1983), nasal-oral allomorphy when following a root-final nasal vowel, where the entire suffix is nasalized (e.g. [pɨ ~ mɨ̃])			
	Optionality:	Categorical		
	Directionality:	Leftward		
	Alternation type:	Morphophonological		
	Undergoers:	V, T		
		Type:	Segmental	
		Morpheme class:	Suffix	
		Morpheme IDs:	{pɨ2, ʔi, i}	
		Positional restriction:	{suffix}	
	Triggers:	Ṽ		
		Type:	Segmental	
		Morpheme class:	Root	
		Morpheme IDs:	NA	
		Positional restriction:	{root, final}	
	Transparencies:	None		
	Opacities:	None		
